Critère DSM-5;English Item (Author's suggestion);question_code;dsm5_criteria;symptom_category
A;I don't really pay attention to details;tr1;Often fails to give close attention to details or makes careless mistakes in schoolwork, at work, or during other activities (e.g., overlooks or misses details, work is inaccurate).;inattention
A;I have been accused of inaccuracies in my work;tr2;Often fails to give close attention to details or makes careless mistakes in schoolwork, at work, or during other activities (e.g., overlooks or misses details, work is inaccurate).;inattention
A;I often make careless mistakes in my activities;tr3;Often fails to give close attention to details or makes careless mistakes in schoolwork, at work, or during other activities (e.g., overlooks or misses details, work is inaccurate).;inattention
B;I have trouble maintaining my attention at work.;tr4;Often has difficulty sustaining attention in tasks or play activities (e.g., has difficulty remaining focused during lectures, conversations, or lengthy reading).;inattention
C;My relatives blame me for not listening to them when they talk;tr7;Often does not seem to listen when spoken to directly (e.g., mind seems elsewhere, even in the absence of any obvious distraction).;inattention
C;My mind is often elsewhere, even when there is no obvious distraction;tr8;Often does not seem to listen when spoken to directly (e.g., mind seems elsewhere, even in the absence of any obvious distraction).;inattention
D;I have difficulty complying with instructions;tr9;Often does not follow through on instructions and fails to finish schoolwork, chores, or duties in the workplace (e.g., starts tasks but quickly loses focus and is easily sidetracked).;inattention
D;I have difficulty completing my tasks (work, home);tr10;Often does not follow through on instructions and fails to finish schoolwork, chores, or duties in the workplace (e.g., starts tasks but quickly loses focus and is easily sidetracked).;inattention
E;I have difficulty organizing my time;tr12;Often has difficulty organizing tasks and activities (e.g., difficulty managing sequential tasks, difficulty keeping materials and belongings in order, messy, disorganized work, has poor time management, fails to meet deadlines).;inattention
E;It is difficult for me to organize tasks that require several steps;tr14;Often has difficulty organizing tasks and activities (e.g., difficulty managing sequential tasks, difficulty keeping materials and belongings in order, messy, disorganized work, has poor time management, fails to meet deadlines).;inattention
F;I tend to avoid tasks that require sustained mental effort (homework at school, writing a report ....);tr15;Often avoids, dislikes, or is reluctant to engage in tasks that require sustained mental effort (e.g., schoolwork or homework, for older adolescents and adults, preparing reports, completing forms, reviewing lengthy papers).;inattention
G;I often lose things I need for my work;tr19;Often loses things necessary for tasks or activities (e.g., school materials, pencils, books, tools, wallets, keys, paperwork, eyeglasses, mobile telephones). ;inattention
H;I am easily distracted by my environment;tr21;Is often easily distracted by extraneous stimuli (for older adolescents and adults, may include unrelated thoughts).;inattention
H;I am often distracted by thoughts unrelated to the activity I am doing;tr22;Is often easily distracted by extraneous stimuli (for older adolescents and adults, may include unrelated thoughts).;inattention
H (C);I am easily distracted by what is going on around me;tr23;Is often easily distracted by extraneous stimuli (for older adolescents and adults, may include unrelated thoughts).;inattention
I;I am often subject to forgetfulness in my daily life (doing housework, shopping...);tr24;Is often forgetful in daily activities (e.g., doing chores, running errands, for older adolescents and adults, returning calls, paying bills, keeping appointments).;inattention
I;I often have trouble meeting my obligations (appointments, calling people back on the phone, paying bills...);tr25;Is often forgetful in daily activities (e.g., doing chores, running errands, for older adolescents and adults, returning calls, paying bills, keeping appointments).;inattention
a (c, d);I often wiggle my hands or feet on my seat;tr26;Often fidgets with or taps hands or feet or squirms in seat.;hyperactivity/impulsivity
a (d);I have trouble sitting still;tr27;Often fidgets with or taps hands or feet or squirms in seat.;hyperactivity/impulsivity
d;I find it hard to stay in place when the situation demands it.;tr33;Often unable to play or engage in leisure activities quietly.;hyperactivity/impulsivity
e;My entourage finds me difficult to follow.;tr34;Is often “on the go,” acting as if “driven by a motor” (e.g., is unable to be or uncomfortable being still for extended time, as in restaurants, meetings, may be experienced by others as being restless or difficult to keep up with).;hyperactivity/impulsivity
f;I tend to monopolize conversations.;tr37;Often talks excessively.;hyperactivity/impulsivity
g (h,f);I find it difficult to wait my turn in a conversation before speaking.;tr40;Often blurts out an answer before a question has been completed (e.g., completes people’s sentences, cannot wait for turn in conversation).;hyperactivity/impulsivity
h;It is difficult for me to wait my turn in a queue.;tr41;Often has difficulty waiting his or her turn (e.g., while waiting in line).;hyperactivity/impulsivity
i;I often interrupt others when they are busy;tr42;Often interrupts or intrudes on others (e.g., butts into conversations, games, or activities, may start using other people’s things without asking or receiving permission, for adolescents and adults, may intrude into or take over what others are doing).;hyperactivity/impulsivity
