question number;area;question
1;stress;I found it hard to wind down
2;anxiety;I was aware of dryness of my mouth
3;depression;I couldn’t seem to experience any positive feeling at all
4;anxiety;I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion)
5;depression;I found it difficult to work up the initiative to do things
6;stress;I tended to over-react to situations
7;anxiety;I experienced trembling (e.g. in the hands)
8;stress;I felt that I was using a lot of nervous energy
9;anxiety;I was worried about situations in which I might panic and make a fool of myself
10;depression;I felt that I had nothing to look forward to
11;stress;I found myself getting agitated
12;stress;I found it difficult to relax
13;depression;I felt down-hearted and blue
14;stress;I was intolerant of anything that kept me from getting on with what I was doing
15;anxiety;I felt I was close to panic
16;depression;I was unable to become enthusiastic about anything
17;depression;I felt I wasn’t worth much as a person
18;stress;I felt that I was rather touchy
19;anxiety;I was aware of the action of my heart in the absence of physical exertion (e.g. sense of heart rate increase, heart missing a beat)
20;anxiety;I felt scared without any good reason
21;depression;I felt that life was meaningless
