Critère DSM-5;English Item (Author's suggestion);question_code;dsm5_criteria;symptom_category
B;I have trouble maintaining my attention at work.;tr4;Often has difficulty sustaining attention in tasks or play activities (e.g., has difficulty remaining focused during lectures, conversations, or lengthy reading).;inattention
B;I have trouble staying focused during conversations;tr6;Often has difficulty sustaining attention in tasks or play activities (e.g., has difficulty remaining focused during lectures, conversations, or lengthy reading).;inattention
C;My mind is often elsewhere, even when there is no obvious distraction;tr8;Often does not seem to listen when spoken to directly (e.g., mind seems elsewhere, even in the absence of any obvious distraction).;inattention
D;I have difficulty completing my tasks (work, home);tr10;Often does not follow through on instructions and fails to finish schoolwork, chores, or duties in the workplace (e.g., starts tasks but quickly loses focus and is easily sidetracked).;inattention
D;I have difficulty staying focused during my activities (domestic, professional).;tr11;Often does not follow through on instructions and fails to finish schoolwork, chores, or duties in the workplace (e.g., starts tasks but quickly loses focus and is easily sidetracked).;inattention
E;It is difficult for me to organize tasks that require several steps;tr14;Often has difficulty organizing tasks and activities (e.g., difficulty managing sequential tasks, difficulty keeping materials and belongings in order, messy, disorganized work, has poor time management, fails to meet deadlines).;inattention
F;I tend to avoid tasks that require sustained mental effort (homework at school, writing a report ....);tr15;Often avoids, dislikes, or is reluctant to engage in tasks that require sustained mental effort (e.g., schoolwork or homework, for older adolescents and adults, preparing reports, completing forms, reviewing lengthy papers).;inattention
G;I often lose things I need for my work;tr19;Often loses things necessary for tasks or activities (e.g., school materials, pencils, books, tools, wallets, keys, paperwork, eyeglasses, mobile telephones). ;inattention
H;I am easily distracted by my environment;tr21;Is often easily distracted by extraneous stimuli (for older adolescents and adults, may include unrelated thoughts).;inattention
b;I often leave my seat unnecessarily during a meeting;tr28;Often leaves seat in situations when remaining seated is expected (e.g., leaves his or her place in the classroom, in the office or other workplace, or in other situations that require remaining in place).;hyperactivity/impulsivity
b;I often leave my seat unnecessarily at work.;tr29;Often leaves seat in situations when remaining seated is expected (e.g., leaves his or her place in the classroom, in the office or other workplace, or in other situations that require remaining in place).;hyperactivity/impulsivity
c;The people around me think that I am a restless person.;tr31;Often runs about or climbs in situations where it is inappropriate. (Note: In adolescents or adults, may be limited to feeling restless.);hyperactivity/impulsivity
e;It's hard for me to sit still for any length of time.;tr36;Is often “on the go,” acting as if “driven by a motor” (e.g., is unable to be or uncomfortable being still for extended time, as in restaurants, meetings, may be experienced by others as being restless or difficult to keep up with).;hyperactivity/impulsivity
g (h,f);I find it difficult to wait my turn in a conversation before speaking.;tr40;Often blurts out an answer before a question has been completed (e.g., completes people’s sentences, cannot wait for turn in conversation).;hyperactivity/impulsivity
i;I often impose myself in conversations.;tr43;Often interrupts or intrudes on others (e.g., butts into conversations, games, or activities, may start using other people’s things without asking or receiving permission, for adolescents and adults, may intrude into or take over what others are doing).;hyperactivity/impulsivity
